split,image_filename,image_path,image_width,image_height,empty_label,review_status
train,Bird-2-_jpeg.rf.dc29899262a73ca43af321bbd1b57872.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Bird-2-_jpeg.rf.dc29899262a73ca43af321bbd1b57872.jpg,1600,900,True,NEEDS_MANUAL_REVIEW
train,Bird-84-_jpg.rf.b49fdfac8454ae571085477f1e14d981.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Bird-84-_jpg.rf.b49fdfac8454ae571085477f1e14d981.jpg,389,280,True,NEEDS_MANUAL_REVIEW
train,Cleaan-25-_jpg.rf.af2661ff815ee54419a34e8fac590b22.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Cleaan-25-_jpg.rf.af2661ff815ee54419a34e8fac590b22.jpg,5464,3640,True,NEEDS_MANUAL_REVIEW
train,Dust-108-_jpg.rf.a733fa9cf63fcfdb113c89eb9af26f82.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-108-_jpg.rf.a733fa9cf63fcfdb113c89eb9af26f82.jpg,2048,921,True,NEEDS_MANUAL_REVIEW
train,Dust-115-_jpg.rf.0ae50e2e7f2f133be79919132d11905e.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-115-_jpg.rf.0ae50e2e7f2f133be79919132d11905e.jpg,1440,1440,True,NEEDS_MANUAL_REVIEW
train,Dust-122-_jpg.rf.e0f0ba20838cd344f257ede69850e712.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-122-_jpg.rf.e0f0ba20838cd344f257ede69850e712.jpg,1440,1440,True,NEEDS_MANUAL_REVIEW
train,Dust-15-_jpg.rf.895e336dd750f77b3bb66b69405085cb.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-15-_jpg.rf.895e336dd750f77b3bb66b69405085cb.jpg,388,280,True,NEEDS_MANUAL_REVIEW
train,Dust-157-_jpg.rf.d84265dd4bfabef0feba4bff23f0a70a.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-157-_jpg.rf.d84265dd4bfabef0feba4bff23f0a70a.jpg,1440,1440,True,NEEDS_MANUAL_REVIEW
train,Dust-165-_jpg.rf.f4161e43f01eca8187137dd2daf5bad1.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-165-_jpg.rf.f4161e43f01eca8187137dd2daf5bad1.jpg,1080,1080,True,NEEDS_MANUAL_REVIEW
train,Dust-192-_jpg.rf.5fc84c693b9bb421a5cc1029732522ea.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-192-_jpg.rf.5fc84c693b9bb421a5cc1029732522ea.jpg,1536,2048,True,NEEDS_MANUAL_REVIEW
train,Dust-193-_jpg.rf.03ff577ea5ff286f427ee0340664b247.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-193-_jpg.rf.03ff577ea5ff286f427ee0340664b247.jpg,1536,2048,True,NEEDS_MANUAL_REVIEW
train,Dust-20-_jpg.rf.13ec0d8b49313a34bb44b4e8afe64880.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-20-_jpg.rf.13ec0d8b49313a34bb44b4e8afe64880.jpg,4032,2268,True,NEEDS_MANUAL_REVIEW
train,Dust-32-_jpg.rf.268ff39b4fa7b3fc19681187462e335b.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-32-_jpg.rf.268ff39b4fa7b3fc19681187462e335b.jpg,1024,538,True,NEEDS_MANUAL_REVIEW
train,Dust-34-_jpg.rf.37ccb40410a6274624e5739f99016a37.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-34-_jpg.rf.37ccb40410a6274624e5739f99016a37.jpg,720,960,True,NEEDS_MANUAL_REVIEW
train,Dust-36-_jpg.rf.c9df30e89235e8015adfc90040ab7aa5.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-36-_jpg.rf.c9df30e89235e8015adfc90040ab7aa5.jpg,720,960,True,NEEDS_MANUAL_REVIEW
train,Dust-5-_jpg.rf.a636155b675226269754b1a2155fb2dd.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-5-_jpg.rf.a636155b675226269754b1a2155fb2dd.jpg,1600,1200,True,NEEDS_MANUAL_REVIEW
train,Dust-55-_jpg.rf.3a80148798e99fde14de1dc96655f7a2.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-55-_jpg.rf.3a80148798e99fde14de1dc96655f7a2.jpg,720,960,True,NEEDS_MANUAL_REVIEW
train,Dust-71-_jpg.rf.92ee532fc26a7dd85dd9ab206ae41be0.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\train\images\Dust-71-_jpg.rf.92ee532fc26a7dd85dd9ab206ae41be0.jpg,720,960,True,NEEDS_MANUAL_REVIEW
val,Bird-83-_jpg.rf.61ec6639bc533dc2a0c0aeea865e0f12.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\valid\images\Bird-83-_jpg.rf.61ec6639bc533dc2a0c0aeea865e0f12.jpg,389,280,True,NEEDS_MANUAL_REVIEW
val,Cleaan-122-_jpg.rf.e0ebbdac36f56b2621f6117fec33da61.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\valid\images\Cleaan-122-_jpg.rf.e0ebbdac36f56b2621f6117fec33da61.jpg,1536,2048,True,NEEDS_MANUAL_REVIEW
val,Dust-117-_jpg.rf.a3633ef8f78750680dda27d97fe13046.jpg,C:\Users\Rasheed\Documents\projects\solarpredict\data\vision\solar_panel_defects\valid\images\Dust-117-_jpg.rf.a3633ef8f78750680dda27d97fe13046.jpg,1440,1440,True,NEEDS_MANUAL_REVIEW
